"DateTime","Players","Players Trend","Twitch Viewers"
"2022-06-01 14:50:00",305461,176089.36063988096,126305
"2022-06-01 15:00:00",293951,176263.619872838,124912
"2022-06-01 15:10:00",281915,176456.28382235422,117616
"2022-06-01 15:20:00",270887,176651.9773440711,123132
"2022-06-01 15:30:00",259571,176860.83013403462,123233
"2022-06-01 15:40:00",249655,177086.19242173727,137744
"2022-06-01 15:50:00",240188,177297.17889314727,133796
"2022-06-01 16:00:00",229645,177503.05122358364,133448
"2022-06-01 16:10:00",218126,177710.31145741476,132316
"2022-06-01 16:20:00",210082,177918.41994434438,132175
"2022-06-01 16:30:00",202879,178116.83721841432,105583
"2022-06-01 16:40:00",196342,178307.10058793917,103461
"2022-06-01 16:50:00",190894,178490.34921520692,101876
"2022-06-01 17:00:00",185230,178662.0753714629,97327
"2022-06-01 17:10:00",177538,178823.28752436646,96485
"2022-06-01 17:20:00",172598,178990.68600309838,97100
"2022-06-01 17:30:00",166924,179149.91483362982,94660
"2022-06-01 17:40:00",164916,179308.48511480805,95886
"2022-06-01 17:50:00",162142,179447.70970267526,95697
"2022-06-01 18:00:00",158956,179571.53928787957,105480
"2022-06-01 18:10:00",155483,179681.19359567904,105552
"2022-06-01 18:20:00",152898,179777.99727934107,102756
"2022-06-01 18:30:00",151134,179865.55763946497,94860
"2022-06-01 18:40:00",149777,179942.87437273498,96609
"2022-06-01 18:50:00",147988,180004.25284784898,103488
"2022-06-01 19:00:00",145854,180057.73914814822,101687
"2022-06-01 19:10:00",143771,180104.03335715077,104144
"2022-06-01 19:20:00",141797,180140.9785925197,107712
"2022-06-01 19:30:00",139594,180172.7437901304,98759
"2022-06-01 19:40:00",138263,180204.47296050205,105331
"2022-06-01 19:50:00",137557,180223.94694924582,110139
"2022-06-01 20:00:00",136054,180235.74271482302,110448
"2022-06-01 20:10:00",133833,180237.01132856347,112409
"2022-06-01 20:20:00",132412,180224.93605386242,113721
"2022-06-01 20:30:00",130931,180203.21106382163,113800
"2022-06-01 20:40:00",129104,180175.3753619195,113406
"2022-06-01 20:50:00",127528,180144.32097995456,109293
"2022-06-01 21:00:00",125785,180109.87885460525,117618
"2022-06-01 21:10:00",123713,180072.71295098157,111924
"2022-06-01 21:20:00",121763,180035.07252932776,110545
"2022-06-01 21:30:00",120004,179998.2146191579,108581
"2022-06-01 21:40:00",117285,179959.74444280277,103688
"2022-06-01 21:50:00",115420,179926.54168107608,105165
"2022-06-01 22:00:00",113843,179893.32868766077,104929
"2022-06-01 22:10:00",111961,179856.53446042776,105758
"2022-06-01 22:20:00",110728,179848.34325396834,105137
"2022-06-01 22:30:00",109753,179838.40401096788,106296
"2022-06-01 22:40:00",109216,179830.4993317351,104690
"2022-06-01 22:50:00",109017,179822.54890046304,104157
"2022-06-01 23:00:00",108403,179800.8350143299,95859
"2022-06-01 23:10:00",108176,179815.8999462633,97056
"2022-06-01 23:20:00",108490,179810.7904265874,97490
"2022-06-01 23:30:00",108783,179794.9260568233,99480
"2022-06-01 23:40:00",109765,179777.22894620823,97416
"2022-06-01 23:50:00",110872,179756.52656870047,99872
"2022-06-02 00:00:00",111788,179735.51253858028,100128
"2022-06-02 00:10:00",113593,179714.54933793546,100812
"2022-06-02 00:20:00",115358,179691.6118551588,100872
"2022-06-02 00:30:00",117450,179668.17761381177,90310
"2022-06-02 00:40:00",118811,179643.39741787926,84886
"2022-06-02 00:50:00",120729,179627.8635602679,86009
"2022-06-02 01:00:00",122844,179615.70712081133,85533
"2022-06-02 01:10:00",125094,179604.34645061733,98438
"2022-06-02 01:20:00",127642,179578.38312251994,96668
"2022-06-02 01:30:00",129835,179568.32612364975,95795
"2022-06-02 01:40:00",132369,179563.7563932981,99262
"2022-06-02 01:50:00",135418,179566.66410383605,100208
"2022-06-02 02:00:00",137928,179574.37610229285,98966
"2022-06-02 02:10:00",140784,179585.11684303355,92267
"2022-06-02 02:20:00",143906,179600.9207175926,94700
"2022-06-02 02:30:00",146536,179622.0789620536,92973
"2022-06-02 02:40:00",149105,179645.108183146,92650
"2022-06-02 02:50:00",150703,179671.71533978175,93573
"2022-06-02 03:00:00",151043,179700.5,90255
"2022-06-02 03:10:00",151224,179734.96414103836,89813
"2022-06-02 03:20:00",151239,179772.13549933868,93279
"2022-06-02 03:30:00",151188,179811.17004243826,92058
"2022-06-02 03:40:00",150891,179853.58834876545,92494
"2022-06-02 03:50:00",150889,179898.3685205853,92487
"2022-06-02 04:00:00",150825,179946.98301780206,95271
"2022-06-02 04:10:00",150353,179995.18212287812,94267
"2022-06-02 04:20:00",151229,180050.156374008,93511
"2022-06-02 04:30:00",152406,180109.89328428134,93112
"2022-06-02 04:40:00",154088,180176.3385416667,90169
"2022-06-02 04:50:00",155265,180249.58180390214,88410
"2022-06-02 05:00:00",155270,180332.96552579367,69461
"2022-06-02 05:10:00",153912,180432.78898327274,69025
"2022-06-02 05:20:00",153396,180562.27577298283,69463
"2022-06-02 05:30:00",153152,180714.14921254964,71409
"2022-06-02 05:40:00",152620,180885.92176477076,68775
"2022-06-02 05:50:00",152918,181083.5631510417,68700
"2022-06-02 06:00:00",153133,181303.21856398816,64096
"2022-06-02 06:10:00",153626,181538.7672129906,64340
"2022-06-02 06:20:00",154653,181791.88591269852,63915
"2022-06-02 06:30:00",155591,182056.07422908407,63370
"2022-06-02 06:40:00",157058,182327.55623070995,67615
"2022-06-02 06:50:00",158559,182597.30038855827,75241
"2022-06-02 07:00:00",159395,182866.9598765433,78112
"2022-06-02 07:10:00",161310,183141.96914613657,83163
"2022-06-02 07:20:00",163603,183412.56857638902,81789
"2022-06-02 07:30:00",165370,183679.57135967823,81106
"2022-06-02 07:40:00",167176,183943.54309964736,86413
"2022-06-02 07:50:00",169450,184203.453393684,83928
"2022-06-02 08:00:00",170643,184454.22873263905,84778
"2022-06-02 08:10:00",171403,184700.32499035506,62823
"2022-06-02 08:20:00",173002,184945.67261904772,64755
"2022-06-02 08:30:00",174552,185184.54593116193,66083
"2022-06-02 08:40:00",176103,185413.7715222664,47207
"2022-06-02 08:50:00",176975,185629.0251736112,49107
"2022-06-02 09:00:00",176869,185831.60317460328,48718
"2022-06-02 09:10:00",176751,186023.39654293438,46144
"2022-06-02 09:20:00",176558,186195.51736111118,51037
"2022-06-02 09:30:00",175681,186347.8429990631,53448
"2022-06-02 09:40:00",175469,186486.30609292333,55959
"2022-06-02 09:50:00",175164,186605.26188409398,58858
"2022-06-02 10:00:00",174607,186708.683049493,62284
"2022-06-02 10:10:00",175220,186796.39716641873,63053
"2022-06-02 10:20:00",176716,186869.47197420642,62204
"2022-06-02 10:30:00",178364,186929.06700906644,63982
"2022-06-02 10:40:00",181311,186977.20950451947,64838
"2022-06-02 10:50:00",184857,187017.72323495374,65649
"2022-06-02 11:00:00",188788,187049.2387566138,67757
"2022-06-02 11:10:00",194270,187070.44677648263,77584
"2022-06-02 11:20:00",201224,187078.0929646164,86327
"2022-06-02 11:30:00",209366,187079.0448185351,97953
"2022-06-02 11:40:00",217539,187070.5655864198,101330
"2022-06-02 11:50:00",227317,187060.89983258935,102444
"2022-06-02 12:00:00",237479,187043.2862103175,106363
"2022-06-02 12:10:00",248272,187022.51126405434,113601
"2022-06-02 12:20:00",259631,187004.3456514551,116798
"2022-06-02 12:30:00",269968,186982.44318714185,121083
"2022-06-02 12:40:00",277655,186961.74232528667,120542
"2022-06-02 12:50:00",288032,186960.77025462966,130346
"2022-06-02 13:00:00",295532,186954.44568452385,145167
"2022-06-02 13:10:00",304500,186959.51525642088,163217
"2022-06-02 13:20:00",312309,186965.17999751982,187718
"2022-06-02 13:30:00",319956,186977.39638103504,189146
"2022-06-02 13:40:00",326270,186987.99193948408,190626
"2022-06-02 13:50:00",330720,186999.5587384259,177813
"2022-06-02 14:00:00",331742,187005.59336419747,194193
"2022-06-02 14:10:00",332791,187019.277261078,192633
"2022-06-02 14:20:00",332614,187024.74305555553,197983
"2022-06-02 14:30:00",331447,187034.51541832008,196108
"2022-06-02 14:40:00",325985,187047.87812086637,183435
"2022-06-02 14:50:00",323064,187084.68501984127,187741
"2022-06-02 15:00:00",315257,187125.49309689153,203215
"2022-06-02 15:10:00",304523,187181.02640335646,206579
"2022-06-02 15:20:00",296358,187259.0489624669,194531
"2022-06-02 15:30:00",288314,187346.34624049274,148642
"2022-06-02 15:40:00",276950,187433.7993827161,116406
"2022-06-02 15:50:00",267521,187545.6493055556,100020
"2022-06-02 16:00:00",258078,187670.82830412264,100145
"2022-06-02 16:10:00",247319,187795.96732046411,94756
"2022-06-02 16:20:00",238369,187924.33246527784,92851
"2022-06-02 16:30:00",230443,188051.56104979612,92044
"2022-06-02 16:40:00",223274,188178.2724592152,82028
"2022-06-02 16:50:00",216522,188303.86993634264,79007
"2022-06-02 17:00:00",209858,188427.84424603177,79721
"2022-06-02 17:10:00",203507,188549.90183049496,79851
"2022-06-02 17:20:00",197773,188663.33203125003,79147
"2022-06-02 17:30:00",192176,188772.54265528554,79835
"2022-06-02 17:40:00",187446,188874.6056409833,78908
"2022-06-02 17:50:00",182581,188967.9343067957,70694
"2022-06-02 18:00:00",177509,189058.27453979282,68738
"2022-06-02 18:10:00",172283,189145.43373842599,70704
"2022-06-02 18:20:00",168433,189226.64781746035,72764
"2022-06-02 18:30:00",165218,189300.13173431993,73477
"2022-06-02 18:40:00",161567,189363.9757908951,73950
"2022-06-02 18:50:00",158741,189414.517609127,73913
"2022-06-02 19:00:00",155672,189458.2082644401,72216
"2022-06-02 19:10:00",152313,189487.03562816916,71593
"2022-06-02 19:20:00",149719,189527.10912698417,66880
"2022-06-02 19:30:00",147620,189566.05223834328,65669
"2022-06-02 19:40:00",144466,189602.8316247796,66247
"2022-06-02 19:50:00",142699,189646.73763020837,66529
"2022-06-02 20:00:00",139749,189688.30206955472,66507
"2022-06-02 20:10:00",135584,189730.83104952058,66559
"2022-06-02 20:20:00",132790,189785.6910962302,68032
"2022-06-02 20:30:00",130506,189846.21197089952,70787
"2022-06-02 20:40:00",128302,189906.78930362657,66328
"2022-06-02 20:50:00",126335,189968.78106398814,71287
"2022-06-02 21:00:00",124328,190033.76755401236,72121
"2022-06-02 21:10:00",122330,190100.10118014226,77848
"2022-06-02 21:20:00",120634,190162.97964203046,75809
"2022-06-02 21:30:00",118832,190224.97574955912,78969
"2022-06-02 21:40:00",117070,190286.25128141537,78012
"2022-06-02 21:50:00",115324,190338.76934523814,76678
"2022-06-02 22:00:00",113336,190386.755931713,77267
"2022-06-02 22:10:00",110969,190433.2257908951,74235
"2022-06-02 22:20:00",109464,190480.35119047624,75227
"2022-06-02 22:30:00",108789,190528.14377342377,74330
"2022-06-02 22:40:00",108228,190570.98478147047,75571
"2022-06-02 22:50:00",105905,190607.85288525134,74945
"2022-06-02 23:00:00",106875,190654.29206624784,74157
"2022-06-02 23:10:00",105609,190688.1543933257,72537
"2022-06-02 23:20:00",105695,190726.34534143526,69964
"2022-06-02 23:30:00",106057,190762.0305197311,68201
"2022-06-02 23:40:00",106643,190796.66052138456,69432
"2022-06-02 23:50:00",107718,190829.31972346237,70245
"2022-06-03 00:00:00",108752,190857.253403329,69513
"2022-06-03 00:10:00",110352,190879.1448102679,70320
"2022-06-03 00:20:00",112113,190895.71796461646,69651
"2022-06-03 00:30:00",114100,190910.63452449854,73802
"2022-06-03 00:40:00",116984,190925.76083002653,74878
