"DateTime","Players","Players Trend","Twitch Viewers"
"2022-06-03 19:20:00",155870,208301.861689528,94301
"2022-06-03 19:30:00",153693,208337.5577412539,86089
"2022-06-03 19:40:00",151892,208368.27437532617,91233
"2022-06-03 19:50:00",149965,208386.80886614276,92716
"2022-06-03 20:00:00",147487,208395.16179620672,90475
"2022-06-03 20:10:00",145604,208398.6843243149,90342
"2022-06-03 20:20:00",143894,208381.20754976838,98071
"2022-06-03 20:30:00",141693,208351.31203867603,97836
"2022-06-03 20:40:00",139802,208374.86244238797,99456
"2022-06-03 20:50:00",138393,208412.38381981378,102381
"2022-06-03 21:00:00",136615,208454.1924415199,102574
"2022-06-03 21:10:00",134013,208494.3665349783,102694
"2022-06-03 21:20:00",132191,208535.33051010862,105441
"2022-06-03 21:30:00",130126,208573.918824761,101924
"2022-06-03 21:40:00",126889,208612.27793434178,104659
"2022-06-03 21:50:00",124462,208658.0433505422,105946
"2022-06-03 22:00:00",122311,208705.42363046296,102543
"2022-06-03 22:10:00",120111,208749.16074425084,101026
"2022-06-03 22:20:00",118680,208790.39535791354,104818
"2022-06-03 22:30:00",117188,208825.61533087457,103895
"2022-06-03 22:40:00",115991,208856.86243320667,101983
"2022-06-03 22:50:00",115024,208884.04599139068,97527
"2022-06-03 23:00:00",114064,208905.4777993612,92153
"2022-06-03 23:10:00",113578,208922.91941145927,93738
"2022-06-03 23:20:00",113242,208931.990172912,87301
"2022-06-03 23:30:00",113506,208940.20002297143,87996
"2022-06-03 23:40:00",113777,208946.16653681803,83743
"2022-06-03 23:50:00",114045,208948.4987892991,78801
"2022-06-04 00:00:00",114104,208949.09120135102,74975
"2022-06-04 00:10:00",114815,208948.02022376982,77424
"2022-06-04 00:20:00",116323,208947.89785456107,75887
"2022-06-04 00:30:00",118086,208945.58796508308,75585
"2022-06-04 00:40:00",120508,208938.3159839596,75970
"2022-06-04 00:50:00",123219,208924.97508044614,77680
"2022-06-04 01:00:00",125742,208909.73994492093,81228
"2022-06-04 01:10:00",129152,208893.66172946623,80480
"2022-06-04 01:20:00",132989,208878.5424204718,82127
"2022-06-04 01:30:00",136903,208865.82059677958,84113
"2022-06-04 01:40:00",141242,208857.53034472684,82282
"2022-06-04 01:50:00",145913,208852.62201421312,83443
"2022-06-04 02:00:00",149482,208846.25198668463,79939
"2022-06-04 02:10:00",153744,208849.84988773026,81965
"2022-06-04 02:20:00",157998,208858.56174027032,80474
"2022-06-04 02:30:00",162086,208872.28192119603,83417
"2022-06-04 02:40:00",166092,208890.5009846857,83047
"2022-06-04 02:50:00",170070,208932.55369291574,83819
"2022-06-04 03:00:00",173540,208978.3790936759,85061
"2022-06-04 03:10:00",176449,209021.05791053813,85181
"2022-06-04 03:20:00",178153,209063.1671796672,104080
"2022-06-04 03:30:00",179945,209106.69988775952,106791
"2022-06-04 03:40:00",181905,209147.45248719215,110026
"2022-06-04 03:50:00",183358,209181.6255198864,108579
"2022-06-04 04:00:00",184574,209217.03098661368,113527
"2022-06-04 04:10:00",186736,209255.74815113196,114146
"2022-06-04 04:20:00",189919,209300.43442543922,111530
"2022-06-04 04:30:00",193013,209345.14990979445,113226
"2022-06-04 04:40:00",197001,209395.96842464045,114897
"2022-06-04 04:50:00",200389,209449.70657053922,114601
"2022-06-04 05:00:00",202860,209508.3000330523,102995
"2022-06-04 05:10:00",205705,209581.31876618182,103383
"2022-06-04 05:20:00",209272,209670.09801065933,102574
"2022-06-04 05:30:00",212956,209765.47340315644,101888
"2022-06-04 05:40:00",216765,209866.59582438157,89129
"2022-06-04 05:50:00",220130,209972.59397551362,74704
"2022-06-04 06:00:00",222393,210079.4511995262,74519
"2022-06-04 06:10:00",225778,210194.28786564196,74354
"2022-06-04 06:20:00",228751,210306.5724742466,74040
"2022-06-04 06:30:00",231973,210419.09518399154,73719
"2022-06-04 06:40:00",235060,210532.47336184097,74106
"2022-06-04 06:50:00",237728,210648.84028122065,74057
"2022-06-04 07:00:00",239792,210766.07521828343,75843
"2022-06-04 07:10:00",241163,210881.3721423456,75432
"2022-06-04 07:20:00",242928,210999.8855561064,76550
"2022-06-04 07:30:00",244030,211118.79685176,74717
"2022-06-04 07:40:00",244885,211240.53319699224,73535
"2022-06-04 07:50:00",245492,211360.91870489725,72520
"2022-06-04 08:00:00",245342,211479.32346926126,71134
"2022-06-04 08:10:00",244411,211596.60213532197,67997
"2022-06-04 08:20:00",245282,211702.98971588715,69349
"2022-06-04 08:30:00",245002,211797.93427050623,66067
"2022-06-04 08:40:00",244228,211891.29121219632,63195
"2022-06-04 08:50:00",242918,211982.50880019832,64110
"2022-06-04 09:00:00",240524,212071.07371371123,65413
"2022-06-04 09:10:00",236658,212159.81394948496,44683
"2022-06-04 09:20:00",233440,212251.86044662038,41212
"2022-06-04 09:30:00",229727,212340.74104831158,43001
"2022-06-04 09:40:00",223637,212425.52199016695,44807
"2022-06-04 09:50:00",218985,212523.85599487688,46693
"2022-06-04 10:00:00",214856,212626.64675604587,46776
"2022-06-04 10:10:00",211968,212732.75761582112,48258
"2022-06-04 10:20:00",209634,212839.18544111168,47814
"2022-06-04 10:30:00",209209,212952.8132987661,48639
"2022-06-04 10:40:00",210473,213068.37312358842,48419
"2022-06-04 10:50:00",212542,213184.42995992405,48773
"2022-06-04 11:00:00",215631,213303.01764515514,51952
